hour,entity_type,entity_id,event,detail
117,WAREHOUSE,0,DOCK_STATUS,"dock=0 FREE dock=1 FREE dock=2 FREE"
117,WAREHOUSE,1,QUEUE,"length=0 trucks=[]"
117,WAREHOUSE,1,DOCK_STATUS,"dock=0 FREE dock=1 FREE dock=2 FREE"
117,WAREHOUSE,2,QUEUE,"length=0 trucks=[]"
117,WAREHOUSE,2,DOCK_STATUS,"dock=0 FREE"
117,WAREHOUSE,3,QUEUE,"length=0 trucks=[]"
117,WAREHOUSE,3,DOCK_STATUS,"dock=0 FREE dock=1 FREE"
117,WAREHOUSE,4,QUEUE,"length=0 trucks=[]"
117,WAREHOUSE,4,DOCK_STATUS,"dock=0 FREE dock=1 FREE"
117,TRUCK,0,IDLE,"manifest_remaining=0 cargo=0"
117,TRUCK,1,IDLE,"manifest_remaining=0 cargo=0"
117,TRUCK,2,MOVING,"pos=(41.78,36.56) heading to WH-2"
118,WAREHOUSE,0,QUEUE,"length=0 trucks=[]"
118,WAREHOUSE,0,DOCK_STATUS,"dock=0 FREE dock=1 FREE dock=2 FREE"
118,WAREHOUSE,1,QUEUE,"length=0 trucks=[]"
118,WAREHOUSE,1,DOCK_STATUS,"dock=0 FREE dock=1 FREE dock=2 FREE"
118,WAREHOUSE,2,QUEUE,"length=0 trucks=[]"
118,WAREHOUSE,2,DOCK_STATUS,"dock=0 FREE"
118,WAREHOUSE,3,QUEUE,"length=0 trucks=[]"
118,WAREHOUSE,3,DOCK_STATUS,"dock=0 FREE dock=1 FREE"
118,WAREHOUSE,4,QUEUE,"length=0 trucks=[]"
118,WAREHOUSE,4,DOCK_STATUS,"dock=0 FREE dock=1 FREE"
118,TRUCK,0,IDLE,"manifest_remaining=0 cargo=0"
118,TRUCK,1,IDLE,"manifest_remaining=0 cargo=0"
118,TRUCK,2,MOVING,"pos=(40.82,34.80) heading to WH-2"
119,WAREHOUSE,0,QUEUE,"length=0 trucks=[]"
119,WAREHOUSE,0,DOCK_STATUS,"dock=0 FREE dock=1 FREE dock=2 FREE"
119,WAREHOUSE,1,QUEUE,"length=0 trucks=[]"
119,WAREHOUSE,1,DOCK_STATUS,"dock=0 FREE dock=1 FREE dock=2 FREE"
119,WAREHOUSE,2,QUEUE,"length=0 trucks=[]"
119,WAREHOUSE,2,DOCK_STATUS,"dock=0 FREE"
119,WAREHOUSE,3,QUEUE,"length=0 trucks=[]"
119,WAREHOUSE,3,DOCK_STATUS,"dock=0 FREE dock=1 FREE"
119,WAREHOUSE,4,QUEUE,"length=0 trucks=[]"
119,WAREHOUSE,4,DOCK_STATUS,"dock=0 FREE dock=1 FREE"
119,TRUCK,0,IDLE,"manifest_remaining=0 cargo=0"
119,TRUCK,1,IDLE,"manifest_remaining=0 cargo=0"
119,TRUCK,2,MOVING,"pos=(39.87,33.05) heading to WH-2"
120,WAREHOUSE,0,QUEUE,"length=0 trucks=[]"
120,WAREHOUSE,0,DOCK_STATUS,"dock=0 FREE dock=1 FREE dock=2 FREE"
120,WAREHOUSE,1,QUEUE,"length=0 trucks=[]"
120,WAREHOUSE,1,DOCK_STATUS,"dock=0 FREE dock=1 FREE dock=2 FREE"
120,WAREHOUSE,2,QUEUE,"length=0 trucks=[]"
120,WAREHOUSE,2,DOCK_STATUS,"dock=0 FREE"
120,WAREHOUSE,3,QUEUE,"length=0 trucks=[]"
120,WAREHOUSE,3,DOCK_STATUS,"dock=0 FREE dock=1 FREE"
120,WAREHOUSE,4,QUEUE,"length=0 trucks=[]"
120,WAREHOUSE,4,DOCK_STATUS,"dock=0 FREE dock=1 FREE"
120,TRUCK,0,IDLE,"manifest_remaining=0 cargo=0"
120,TRUCK,1,IDLE,"manifest_remaining=0 cargo=0"
120,TRUCK,2,MOVING,"pos=(38.91,31.29) heading to WH-2"
121,WAREHOUSE,0,QUEUE,"length=0 trucks=[]"
121,WAREHOUSE,0,DOCK_STATUS,"dock=0 FREE dock=1 FREE dock=2 FREE"
121,WAREHOUSE,1,QUEUE,"length=0 trucks=[]"
121,WAREHOUSE,1,DOCK_STATUS,"dock=0 FREE dock=1 FREE dock=2 FREE"
121,WAREHOUSE,2,QUEUE,"length=0 trucks=[]"
121,WAREHOUSE,2,DOCK_STATUS,"dock=0 FREE"
121,WAREHOUSE,3,QUEUE,"length=0 trucks=[]"
